Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32000    0.064    0.000    0.167    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\lib\type_check.py:210(iscomplex)
    44023    0.155    0.000    0.155    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   281235    0.102    0.000    0.144    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\operations.py:59(<genexpr>)
    80000    0.083    0.000    0.137    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\compatibility.py:149(iterable)
    24000    0.037    0.000    0.135    0.000 {method 'view' of 'numpy.ndarray' objects}
    24002    0.056    0.000    0.134    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
   319680    0.131    0.000    0.131    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:3117(size)
   110761    0.053    0.000    0.130    0.000 C:\Users\tarun\Documents\Anaconda\lib\abc.py:96(__instancecheck__)
    96005    0.043    0.000    0.129    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
   102644    0.056    0.000    0.127    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1242(_as_mpf_op)
96000/72000    0.116    0.000    0.127    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\matrixlib\defmatrix.py:167(__array_finalize__)
   155215    0.120    0.000    0.120    0.000 {method 'update' of 'set' objects}
   639364    0.115    0.000    0.115    0.000 {method 'rstrip' of 'str' objects}
    82850    0.114    0.000    0.114    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:313(_eval_subs)
   281235    0.081    0.000    0.114    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\operations.py:63(<genexpr>)
    20000    0.019    0.000    0.110    0.000 <__array_function__ internals>:2(diagonal)
   352000    0.109    0.000    0.109    0.000 C:\Users\tarun\Documents\Anaconda\lib\inspect.py:487(getmro)
    24000    0.022    0.000    0.109    0.000 <__array_function__ internals>:2(dot)
    12001    0.017    0.000    0.100    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
    64000    0.051    0.000    0.100    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:574(mpf_cmp)
   204444    0.095    0.000    0.095    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:663(mpf_neg)
    62126    0.074    0.000    0.094    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:455(_gather)
   503680    0.093    0.000    0.093    0.000 {method 'strip' of 'str' objects}
    32000    0.027    0.000    0.092    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:641(mpf_ge)
   159300    0.090    0.000    0.090    0.000 {built-in method builtins.divmod}
   344397    0.084    0.000    0.089    0.000 {built-in method builtins.abs}
   319680    0.088    0.000    0.088    0.000 {method 'replace' of 'str' objects}
    80000    0.051    0.000    0.087    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:454(to_float)
    32000    0.056    0.000    0.083    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:699(<listcomp>)
   287364    0.083    0.000    0.083    0.000 {method 'copy' of 'dict' objects}
   256321    0.081    0.000    0.081    0.000 {method 'update' of 'dict' objects}
   110761    0.077    0.000    0.077    0.000 {built-in method _abc._abc_instancecheck}
    62642    0.042    0.000    0.074    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\add.py:19(_addsort)
    20000    0.027    0.000    0.073    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:1502(diagonal)
    30761    0.053    0.000    0.069    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:842(as_coeff_Mul)
   319680    0.068    0.000    0.068    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:3113(_size_dispatcher)
    12001    0.014    0.000    0.065    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
   168000    0.064    0.000    0.064    0.000 {built-in method math.frexp}
   319680    0.062    0.000    0.062    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:194(_reshape_dispatcher)
